SKLYPO_ID,drenazo_plotu_proc
550100030150,0.8
550100030151,48.34
550100030152,100.0
550100030153,97.75
550100030154,0.0
550100030155,0.0
550100030156,84.48
550100030157,0.0
550100030158,98.56
550100030159,100.0
550100030160,63.9
550100030161,6.2
550100030162,100.0
550100030163,100.0
550100030164,99.64
550100030165,2.17
550100030166,17.01
550100030167,1.37
550100030169,100.0
550100030170,0.69
550100030171,10.73
550100030172,100.0
550100030173,99.34
550100030174,100.0
550100030175,53.39
550100030176,20.91
550100030177,0.0
550100030178,93.96
550100030179,0.0
550100030180,0.0
550100030181,0.0
550100030182,48.12
550100030183,0.0
550100030184,100.0
550100030185,96.51
550100030186,0.0
550100030187,0.0
550100030188,77.04
550100030189,0.79
550100030190,100.0
550100030191,0.0
550100030192,2.26
550100030193,0.0
550100030194,0.0
550100030195,0.0
550100030196,41.89
550100030197,0.0
550100030198,0.0
550100030199,0.0
550100030200,0.0
550100030201,0.0
550100030202,0.0
550100030203,0.0
550100030204,0.06
550100030205,0.0
550100030206,100.0
550100030207,52.67
550100030208,96.17
550100030209,57.82
550100030210,100.0
550100030211,0.22
550100030212,76.58
550100030213,0.0
550100030214,89.84
550100030215,0.63
550100030216,0.0
550100030217,0.24
550100030218,0.04
550100030219,0.0
550100030220,0.0
550100030221,0.0
550100030222,0.0
550100030223,0.0
550100030224,1.62
550100030225,100.0
550100030226,100.0
550100030227,100.0
550100030228,100.0
550100030229,97.51
550100030230,99.9
550100030231,96.35
550100030232,24.77
550100030233,0.0
550100030234,0.0
550100030235,0.61
550100030236,4.71
550100030237,99.44
550100030238,0.0
550100030239,100.0
550100030240,100.0
550100030241,7.2
550100030242,0.0
550100030243,2.05
550100030244,98.36
550100030245,99.38
550100030246,0.51
550100030247,100.0
550100030248,98.28
550100030249,100.0
550100030250,0.28
550100030251,96.96
550100030252,99.94
550100030253,0.0
550100030254,0.0
550100030255,0.0
550100030256,6.65
550100030257,0.0
550100030258,0.0
550100030259,11.04
550100030260,0.0
550100030261,56.2
550100030262,100.0
550100030263,42.05
550100030264,100.0
550100030265,27.26
550100030266,99.48
550100030267,0.44
550100030268,100.0
550100030269,90.35
550100030270,0.0
550100030271,0.0
550100030272,1.94
550100030273,0.0
550100030274,100.0
550100030275,0.41
550100030276,0.01
550100030277,0.0
550100030278,2.46
550100030279,0.0
550100030280,0.0
550100030281,0.0
550100030282,99.99
550100030283,0.85
550100030284,0.0
550100030285,0.0
550100030286,0.59
550100030287,100.0
550100030288,42.62
550100030289,63.36
550100030290,0.0
550100030291,23.89
550100030292,0.0
550100030293,0.0
550100030294,0.0
550100030295,0.0
550100030296,100.0
550100030297,100.0
550100030298,98.32
550100030299,100.0
550100030300,99.09
550100030301,100.0
550100030302,15.91
550100030303,15.99
550100030304,0.0
550100030305,0.0
550100030306,0.0
550100030307,44.17
550100030308,52.3
550100030309,87.09
550100030310,56.47
550100030311,8.88
550100030312,48.3
550100030313,0.0
550100030314,0.0
550100030315,100.0
550100030316,0.0
550100030317,3.71
550100030318,0.0
550100030319,94.28
550100030320,2.69
550100030321,0.0
550100030322,0.0
550100030323,99.81
550100030324,100.0
550100030325,100.0
550100030326,94.21
550100030327,0.0
550100030328,0.0
550100030329,99.87
550100030330,0.83
550100030331,99.1
550100030332,100.0
550100030333,100.0
550100030334,0.0
550100030335,0.0
550100030336,100.0
550100030337,87.97
550100030338,30.31
550100030339,75.01
550100030340,100.0
550100030341,0.0
550100030342,0.0
550100030343,0.0
550100030344,0.0
550100030345,0.0
